2017-09-08-18-14-07    798I1407.FIT
2017-09-10-15-18-57    79AF1857.FIT
2017-09-12-16-16-03    79CG1603.FIT
2017-09-13-16-20-08    79DG2008.FIT
2017-09-30-16-39-53    79UG3953.FIT
2017-10-01-08-13-46    7A181346.FIT
2017-10-03-14-52-43    7A3E5243.FIT
2017-10-04-13-49-17    7A4D4917.FIT
2017-10-05-17-37-07    7A5H3707.FIT
2017-10-06-16-56-27    7A6G5627.FIT
2017-10-07-17-42-48    7A7H4248.FIT
2017-10-08-08-45-30    7A884530.FIT
2017-10-08-17-34-29    7A8H3429.FIT
2017-10-09-14-37-17    7A9E3717.FIT
2017-10-10-10-39-04    7AAA3904.FIT
2017-10-11-16-58-40    7ABG5840.FIT
2017-10-13-15-58-57    7ADF5857.FIT
2017-10-14-17-34-21    7AEH3421.FIT
2017-10-15-08-53-16    7AF85316.FIT
2017-10-15-16-43-10    7AFG4310.FIT
2017-10-20-15-58-52    7AKF5852.FIT
2017-10-22-16-39-05    7AMG3905.FIT
2017-10-23-15-51-33    7ANF5133.FIT
2017-10-24-13-39-47    7AOD3947.FIT
2017-10-30-14-13-13    7AUE1313.FIT
2017-10-31-14-52-02    7AVE5202.FIT
2017-11-06-15-16-00    7B6F1600.FIT
2017-11-07-10-00-24    7B7A0024.FIT
2017-11-18-09-02-49    7BI90249.FIT
2017-11-18-15-57-28    7BIF5728.FIT
2017-11-19-10-04-44    7BJA0444.FIT
2017-11-19-15-55-14    7BJF5514.FIT
2017-11-23-11-35-18    7BNB3518.FIT
2017-11-25-10-08-33    7BPA0833.FIT
2017-11-25-11-19-47    7BPB1947.FIT
2017-11-27-08-31-53    7BR83153.FIT
2017-11-27-17-21-17    7BRH2117.FIT
2017-11-28-08-48-31    7BS84831.FIT
2017-11-29-08-49-37    7BT84937.FIT
2017-11-29-17-11-57    7BTH1157.FIT
2017-12-01-08-38-12    7C183812.FIT
2017-12-04-08-09-40    7C480940.FIT
2017-12-05-08-29-37    7C582937.FIT
2017-12-05-11-49-29    7C5B4929.FIT
2017-12-06-08-47-11    7C684711.FIT
2017-12-07-08-44-58    7C784458.FIT
2017-12-07-17-55-50    7C7H5550.FIT
2017-12-08-08-57-21    7C885721.FIT
2017-12-11-09-51-33    7CB95133.FIT
2017-12-12-08-42-14    7CC84214.FIT
2017-12-12-19-01-16    7CCJ0116.FIT
2017-12-13-09-04-04    7CD90404.FIT
2017-12-14-08-20-44    7CE82044.FIT
2017-12-14-17-15-34    7CEH1534.FIT
2017-12-15-08-20-06    7CF82006.FIT
2017-12-15-14-04-38    7CFE0438.FIT
2017-12-16-12-09-01    7CGC0901.FIT
2017-12-18-08-24-46    7CI82446.FIT
2017-12-18-18-00-56    7CII0056.FIT
2017-12-19-08-10-35    7CJ81035.FIT
2017-12-19-16-41-31    7CJG4131.FIT
2017-12-21-09-48-44    7CL94844.FIT
2017-12-21-16-38-38    7CLG3838.FIT
2017-12-22-09-59-22    7CM95922.FIT
2017-12-22-17-09-37    7CMH0937.FIT
2017-12-22-18-23-06    7CMI2306.FIT
2017-12-24-12-42-19    7COC4219.FIT
2017-12-26-10-51-38    7CQA5138.FIT
2017-12-26-11-48-21    7CQB4821.FIT
2017-12-26-12-55-03    7CQC5503.FIT
2017-12-29-09-43-20    7CT94320.FIT
2017-12-30-15-05-27    7CUF0527.FIT
2017-12-31-08-39-34    7CV83934.FIT
2017-12-31-10-06-16    7CVA0616.FIT
2017-12-31-12-43-23    7CVC4323.FIT
2018-01-02-08-20-20    81282020.FIT
2018-01-02-15-57-44    812F5744.FIT
2018-01-02-17-43-26    812H4326.FIT
2018-01-03-08-11-39    81381139.FIT
2018-01-04-08-53-54    81485354.FIT
2018-01-04-17-50-50    814H5050.FIT
2018-01-05-08-14-50    81581450.FIT
2018-01-05-16-24-24    815G2424.FIT
2018-01-06-06-42-09    81664209.FIT
2018-01-06-10-16-48    816A1648.FIT
2018-01-06-15-48-59    816F4859.FIT
2018-01-07-08-41-25    81784125.FIT
2018-01-08-08-07-33    81880733.FIT
2018-01-08-20-55-56    818K5556.FIT
2018-01-09-08-39-36    81983936.FIT
2018-01-09-16-49-04    819G4904.FIT
2018-01-09-19-06-16    819J0616.FIT
2018-01-10-18-58-25    81AI5825.FIT
2018-01-11-07-06-04    81B70604.FIT
2018-01-11-08-02-52    81B80252.FIT
2018-01-11-17-26-25    81BH2625.FIT
2018-01-12-07-25-43    81C72543.FIT
2018-01-12-08-43-24    81C84324.FIT
2018-01-12-16-53-51    81CG5351.FIT
2018-01-13-09-48-01    81D94801.FIT
2018-01-14-22-32-28    81EM3228.FIT
2018-01-15-11-09-06    81FB0906.FIT
2018-01-15-12-52-48    81FC5248.FIT
2018-01-15-19-37-27    81FJ3727.FIT
2018-01-17-10-59-03    81HA5903.FIT
2018-01-17-16-27-23    81HG2723.FIT
2018-01-17-17-58-58    81HH5858.FIT
2018-01-18-08-34-21    81I83421.FIT
2018-01-18-13-20-25    81ID2025.FIT
2018-01-18-18-06-46    81II0646.FIT
2018-01-19-08-48-44    81J84844.FIT
2018-01-19-14-08-58    81JE0858.FIT
2018-01-19-23-02-04    81JN0204.FIT
2018-01-20-12-55-48    81KC5548.FIT
2018-01-21-17-20-48    81LH2048.FIT
2018-01-22-08-17-26    81M81726.FIT
2018-01-22-16-41-44    81MG4144.FIT
2018-01-22-17-47-03    81MH4703.FIT
2018-01-22-21-42-25    81ML4225.FIT
2018-01-23-07-58-26    81N75826.FIT
2018-01-23-16-03-09    81NG0309.FIT
2018-01-23-19-14-02    81NJ1402.FIT
2018-01-24-08-34-44    81O83444.FIT
2018-01-24-15-34-08    81OF3408.FIT
2018-01-24-21-44-58    81OL4458.FIT
2018-01-25-07-14-38    81P71438.FIT
2018-01-25-08-44-06    81P84406.FIT
2018-01-25-17-27-20    81PH2720.FIT
2018-01-26-08-28-55    81Q82855.FIT
2018-01-26-17-13-53    81QH1353.FIT
2018-01-26-19-10-26    81QJ1026.FIT
2018-01-27-09-29-51    81R92951.FIT
2018-02-01-08-38-43    82183843.FIT
2018-02-01-16-07-58    821G0758.FIT
2018-02-02-17-29-41    822H2941.FIT
2018-02-03-09-29-40    82392940.FIT
2018-02-04-14-29-15    824E2915.FIT
2018-02-05-07-32-05    82573205.FIT
2018-02-05-09-12-38    82591238.FIT
2018-02-05-13-51-22    825D5122.FIT
2018-02-06-07-25-49    82672549.FIT
2018-02-07-07-35-31    82773531.FIT
2018-02-12-17-53-14    82CH5314.FIT
2018-02-14-16-11-32    82EG1132.FIT
2018-02-15-08-10-35    82F81035.FIT
2018-02-15-12-34-59    82FC3459.FIT
2018-02-15-16-12-32    82FG1232.FIT
2018-02-16-17-49-16    82GH4916.FIT
2018-02-17-17-13-31    82HH1331.FIT
2018-02-18-17-24-53    82IH2453.FIT
2018-02-19-07-52-39    82J75239.FIT
2018-02-20-09-34-33    82K93433.FIT
2018-02-20-13-16-17    82KD1617.FIT
2018-02-21-07-57-29    82L75729.FIT
2018-02-22-09-01-27    82M90127.FIT
2018-02-23-18-01-46    82NI0146.FIT
2018-02-24-14-21-23    82OE2123.FIT
2018-02-25-15-39-53    82PF3953.FIT
2018-02-26-09-10-09    82Q91009.FIT
2018-02-26-16-11-54    82QG1154.FIT
2018-02-27-07-59-04    82R75904.FIT
2018-02-27-09-54-53    82R95453.FIT
2018-02-27-14-43-16    82RE4316.FIT
2018-02-28-08-42-07    82S84207.FIT
2018-03-01-08-27-39    83182739.FIT
2018-03-01-14-51-35    831E5135.FIT
2018-03-01-17-23-38    831H2338.FIT
2018-03-02-09-46-00    83294600.FIT
2018-03-02-14-04-58    832E0458.FIT
2018-03-02-15-12-16    832F1216.FIT
2018-03-03-15-21-52    833F2152.FIT
2018-03-04-07-47-30    83474730.FIT
2018-03-05-14-37-38    835E3738.FIT
2018-03-06-10-18-43    836A1843.FIT
2018-03-06-12-23-25    836C2325.FIT
2018-03-06-13-46-53    836D4653.FIT
2018-03-07-13-31-28    837D3128.FIT
2018-03-09-12-13-38    839C1338.FIT
2018-03-09-17-21-47    839H2147.FIT
2018-03-10-14-50-00    83AE5000.FIT
2018-03-11-09-49-17    83B94917.FIT
2018-03-12-08-12-52    83C81252.FIT
2018-03-12-09-39-11    83C93911.FIT
2018-03-12-13-46-59    83CD4659.FIT
2018-03-13-08-42-34    83D84234.FIT
2018-03-13-13-11-25    83DD1125.FIT
2018-03-13-15-59-00    83DF5900.FIT
2018-03-14-09-42-36    83E94236.FIT
2018-03-14-13-19-33    83ED1933.FIT
2018-03-15-08-45-57    83F84557.FIT
2018-03-15-12-14-45    83FC1445.FIT
2018-03-16-08-25-51    83G82551.FIT
2018-03-16-16-06-18    83GG0618.FIT
2018-03-17-14-59-49    83HE5949.FIT
2018-03-18-15-40-52    83IF4052.FIT
